Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
SD,1,28.5%,6,14-2,3,26.7%,2,25.8%,18,2.2%,3,4.9%,1,13.7,1,34.8%,29,-7.3%,3,12.4,1,5.4%
BAL,2,27.2%,18,13-3,2,29.6%,15,1.0%,1,-22.4%,4,3.9%,3,11.9,3,29.7%,24,-2.0%,1,12.6,13,14.5%
NE,3,26.1%,12,12-4,1,30.3%,4,14.7%,7,-8.5%,8,2.9%,4,11.5,4,27.6%,21,-0.7%,4,12.2,22,17.7%
PHI,4,25.5%,19,10-6,5,21.1%,3,21.2%,8,-6.7%,23,-2.5%,2,12.5,5,20.8%,18,-0.3%,8,9.9,10,11.8%
CHI,5,24.0%,17,13-3,7,17.1%,18,-4.6%,2,-19.9%,1,8.7%,5,11.2,2,30.5%,30,-7.7%,2,12.5,31,27.7%
JAX,6,21.8%,11,8-8,4,21.6%,9,7.6%,3,-14.7%,19,-0.5%,8,9.3,6,20.1%,10,2.7%,5,10.8,32,30.3%
IND,7,17.9%,1,12-4,6,19.0%,1,29.4%,26,7.8%,25,-3.6%,6,10.4,7,15.2%,11,2.6%,9,9.7,28,18.8%
NYG,8,12.3%,10,8-8,11,8.5%,7,11.8%,14,-0.3%,17,0.1%,7,9.5,10,6.6%,7,3.6%,16,7.8,9,11.2%
DAL,9,11.0%,13,9-7,12,7.8%,6,12.1%,15,0.6%,20,-0.5%,9,8.9,8,10.8%,13,0.7%,7,9.9,25,18.6%
NO,10,10.0%,27,10-6,8,10.2%,8,10.1%,16,0.7%,14,0.6%,10,8.8,9,10.4%,19,-0.4%,6,10.4,20,16.8%
PIT,11,8.8%,4,8-8,10,8.6%,10,7.4%,9,-6.4%,30,-5.0%,12,8.5,11,5.3%,12,2.4%,11,9.1,19,16.5%
CIN,12,6.1%,8,8-8,13,5.6%,5,14.4%,28,9.6%,12,1.4%,13,8.4,13,3.8%,5,4.2%,10,9.2,5,8.1%
KC,13,5.3%,5,9-7,14,5.3%,11,6.1%,17,2.1%,13,1.3%,11,8.8,12,5.2%,25,-2.3%,13,8.5,26,18.7%
CAR,14,4.6%,9,8-8,9,9.1%,17,-2.1%,5,-9.9%,24,-3.2%,15,8.1,14,3.3%,15,0.5%,21,6.9,11,13.3%
DEN,15,-1.6%,2,9-7,21,-5.4%,19,-4.8%,12,-2.6%,15,0.6%,19,7.1,17,-0.8%,16,0.1%,14,8.4,15,15.3%
MIA,16,-1.6%,15,6-10,17,2.1%,26,-10.0%,6,-9.3%,21,-0.9%,18,7.2,15,1.2%,8,3.4%,19,7.2,12,13.7%
NYJ,17,-2.3%,28,10-6,18,-1.7%,12,5.4%,30,11.5%,5,3.7%,14,8.2,16,-0.1%,20,-0.6%,12,8.7,16,16.0%
BUF,18,-2.5%,25,7-9,15,3.2%,22,-7.0%,19,2.6%,2,7.1%,16,7.9,22,-9.6%,2,6.1%,17,7.7,17,16.0%
ATL,19,-5.2%,16,7-9,20,-5.2%,16,-1.0%,13,-0.4%,28,-4.6%,17,7.8,18,-0.8%,14,0.7%,20,6.9,23,17.7%
GB,20,-6.1%,21,8-8,19,-2.0%,20,-5.0%,11,-3.7%,29,-4.8%,22,6.8,23,-10.1%,22,-1.2%,23,6.1,30,23.9%
MIN,21,-10.0%,23,6-10,24,-12.1%,31,-17.8%,4,-12.2%,27,-4.4%,20,7.1,20,-6.1%,26,-3.3%,22,6.6,2,6.7%
WAS,22,-10.4%,7,5-11,23,-11.1%,13,3.6%,32,15.9%,11,1.9%,23,6.3,25,-14.1%,4,4.5%,24,6.1,7,10.8%
TEN,23,-11.3%,30,8-8,16,2.5%,24,-9.5%,21,4.6%,10,2.8%,21,6.9,26,-14.3%,1,9.5%,25,6.0,27,18.8%
STL,24,-11.3%,29,8-8,25,-14.7%,14,2.4%,27,8.4%,31,-5.3%,25,6.1,19,-3.9%,32,-8.0%,18,7.6,18,16.0%
SEA,25,-14.1%,3,9-7,28,-16.4%,27,-11.7%,23,5.2%,9,2.9%,28,5.3,21,-9.0%,31,-7.8%,15,7.8,6,9.0%
CLE,26,-17.1%,24,4-12,31,-22.4%,29,-16.3%,20,4.2%,6,3.3%,30,4.6,30,-22.5%,9,2.9%,30,4.5,14,14.9%
DET,27,-17.9%,26,3-13,27,-15.7%,28,-13.7%,25,7.2%,7,3.0%,29,5.2,27,-18.5%,23,-1.5%,27,5.5,3,7.4%
SF,28,-19.7%,32,7-9,29,-19.4%,23,-8.5%,29,11.2%,18,0.1%,24,6.2,28,-19.0%,27,-4.4%,29,5.0,24,17.8%
HOU,29,-20.9%,31,6-10,26,-15.2%,21,-6.3%,31,12.3%,22,-2.2%,27,5.6,29,-19.8%,6,3.9%,28,5.1,21,17.2%
ARI,30,-20.9%,22,5-11,22,-8.3%,25,-9.7%,22,5.1%,32,-6.1%,26,5.6,24,-13.6%,28,-6.1%,26,5.9,29,19.7%
TB,31,-21.5%,14,4-12,30,-20.3%,30,-16.4%,24,5.4%,16,0.3%,31,4.6,31,-27.0%,3,5.8%,31,3.7,4,7.6%
OAK,32,-34.7%,20,2-14,32,-31.0%,32,-37.2%,10,-6.4%,26,-3.9%,32,1.8,32,-40.0%,17,0.0%,32,2.9,8,10.8%

