Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
IND,1,26.30,4,26.30,4,26.30,14,29.30,1,25.77,3,24.00,2,28.53
DEN,2,26.76,10,27.52,2,26.01,32,33.28,5,27.10,6,24.76,8,30.23
LAR,3,26.83,2,26.24,14,27.40,7,28.18,4,26.92,4,24.24,3,29.05
BAL,4,26.87,3,26.27,15,27.47,18,29.74,6,27.26,1,22.83,5,29.80
CLE,5,26.99,15,28.23,1,25.81,16,29.40,7,27.48,14,25.61,14,31.09
NE,6,27.01,1,26.15,20,27.92,3,27.29,3,26.84,22,26.90,1,28.18
TB,7,27.10,6,26.87,13,27.36,12,29.21,2,26.29,21,26.64,4,29.59
GB,8,27.16,12,27.65,7,26.72,4,27.71,12,28.02,18,26.18,19,31.46
HOU,9,27.37,11,27.59,10,27.17,8,28.32,8,27.54,16,25.89,9,30.27
NYG,10,27.40,14,28.14,6,26.68,19,29.75,28,30.24,2,23.52,17,31.25
MIN,11,27.41,13,27.99,8,26.87,11,28.75,20,29.32,5,24.34,22,31.77
CIN,12,27.42,8,27.11,18,27.70,1,26.12,14,28.49,24,27.06,12,30.83
ATL,13,27.49,9,27.37,16,27.60,21,29.94,9,27.71,13,25.56,7,30.18
KC,14,27.52,5,26.73,23,28.32,5,27.92,10,27.88,9,25.37,6,29.92
PIT,15,27.62,7,27.05,22,28.22,13,29.25,13,28.22,8,24.90,11,30.42
SF,16,27.73,16,28.44,9,27.03,15,29.32,16,28.80,17,25.89,10,30.39
NYJ,17,27.78,25,29.59,3,26.19,10,28.62,18,29.02,20,26.23,28,32.51
ARI,18,27.84,17,28.46,11,27.28,2,26.62,11,27.93,28,27.93,20,31.46
JAX,19,28.18,30,29.81,5,26.67,6,28.12,27,30.22,10,25.43,25,32.27
BUF,20,28.25,21,29.32,12,27.30,27,31.05,25,29.78,12,25.52,15,31.09
WAS,21,28.61,20,28.76,25,28.46,25,30.94,22,29.56,19,26.18,32,33.19
CAR,22,28.63,29,29.65,17,27.65,23,30.40,15,28.58,25,27.08,26,32.30
DET,23,28.68,22,29.43,21,27.92,17,29.41,31,30.66,11,25.51,29,32.64
DAL,24,28.73,26,29.61,19,27.86,29,31.33,17,28.89,15,25.68,21,31.67
OAK,25,29.05,28,29.62,24,28.46,30,31.79,30,30.57,23,26.90,24,32.07
SEA,26,29.10,23,29.46,26,28.75,26,31.04,26,29.89,7,24.90,18,31.36
PHI,27,29.39,27,29.62,28,29.18,28,31.05,23,29.65,27,27.30,30,32.69
TEN,28,29.52,24,29.58,29,29.47,24,30.64,24,29.78,29,28.44,23,31.93
NO,29,29.53,18,28.48,31,30.59,20,29.93,19,29.04,32,30.29,13,31.07
CHI,30,29.82,32,30.62,27,28.98,22,30.34,29,30.38,26,27.24,27,32.32
MIA,31,30.08,31,30.12,30,30.03,9,28.47,32,31.36,30,29.05,31,32.74
LAC,32,30.25,19,28.59,32,31.75,31,32.04,21,29.49,31,29.51,16,31.25
NFL,0,28.05,0,28.28,0,27.82,0,29.44,0,28.69,0,26.14,0,31.06

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
PHI,1,26.33,6,27.63,1,25.11,7,28.23,2,26.44,4,25.03,14,30.88
KC,2,26.58,12,27.88,2,25.36,22,30.14,1,26.28,21,26.55,3,29.66
CHI,3,26.73,5,27.57,3,26.05,4,27.91,8,27.76,12,25.87,13,30.86
NE,4,26.97,4,27.44,4,26.50,8,28.44,22,29.29,5,25.08,1,29.21
NYJ,5,27.15,2,27.30,7,26.99,18,29.69,5,27.48,2,23.59,6,30.24
BAL,6,27.18,1,26.94,8,27.43,5,27.97,6,27.54,16,26.14,2,29.63
CLE,7,27.26,7,27.65,5,26.94,14,28.88,3,26.99,14,25.89,4,30.10
NO,8,27.45,14,27.95,6,26.95,17,29.65,9,27.80,15,26.13,8,30.49
LAC,9,27.82,15,28.03,11,27.56,15,29.24,28,29.77,7,25.25,17,31.11
HOU,10,27.86,17,28.24,9,27.49,3,27.71,14,28.73,25,26.81,15,30.99
CIN,11,27.88,8,27.72,18,28.06,20,29.97,17,29.06,1,23.52,12,30.83
SF,12,27.92,11,27.79,17,28.05,2,27.68,11,28.39,27,27.20,10,30.77
DAL,13,28.01,10,27.78,23,28.22,9,28.47,21,29.25,19,26.22,25,31.71
PIT,14,28.12,20,28.59,12,27.69,32,33.77,10,28.01,20,26.39,11,30.81
ATL,15,28.12,24,28.75,10,27.53,23,30.21,15,28.90,9,25.64,22,31.49
SEA,16,28.20,16,28.20,22,28.21,28,30.92,19,29.21,13,25.89,16,31.07
GB,17,28.25,18,28.32,21,28.19,25,30.55,4,27.37,29,27.61,5,30.13
DEN,18,28.28,3,27.44,29,29.16,10,28.58,16,29.02,11,25.79,7,30.40
TB,19,28.29,13,27.92,26,28.63,13,28.87,13,28.52,28,27.41,23,31.51
OAK,20,28.35,9,27.73,27,28.94,12,28.82,7,27.57,32,29.16,18,31.22
DET,21,28.41,25,28.77,19,28.09,16,29.47,25,29.68,10,25.72,27,31.93
NYG,22,28.43,26,28.85,16,28.03,24,30.27,12,28.47,24,26.78,20,31.32
BUF,23,28.43,28,29.03,13,27.80,11,28.75,26,29.72,18,26.20,9,30.74
LAR,24,28.48,27,28.86,20,28.09,31,31.87,27,29.75,17,26.20,31,32.20
IND,25,28.51,21,28.60,24,28.42,1,26.48,32,30.78,22,26.74,32,32.42
JAX,26,28.60,22,28.64,25,28.56,6,28.19,31,30.16,6,25.19,24,31.60
WAS,27,28.63,30,29.35,14,27.89,21,30.04,30,30.06,3,24.58,26,31.84
TEN,28,28.75,19,28.51,28,28.98,27,30.77,23,29.40,8,25.34,19,31.29
CAR,29,28.97,23,28.71,30,29.23,30,31.30,18,29.17,26,27.16,28,31.94
MIN,30,29.00,32,30.15,15,27.93,26,30.68,29,29.88,23,26.76,21,31.47
