index,team,schedule_season,team_year,sec_play_total,sec_play_neutral,sec_play_composite
1,LAC,2021,LAC2021,26.07,29.48,27.775
2,DAL,2021,DAL2021,26.3,28.38,27.34
3,JAX,2021,JAX2021,26.51,31.36,28.935
4,TB,2021,TB2021,26.58,28.66,27.62
5,PIT,2021,PIT2021,26.63,30.31,28.47
6,SEA,2021,SEA2021,26.68,30.18,28.43
7,NYJ,2021,NYJ2021,26.77,30.68,28.725
8,MIN,2021,MIN2021,26.97,31.15,29.06
9,KC,2021,KC2021,27.06,29.2,28.13
10,NYG,2021,NYG2021,27.09,30.54,28.815
11,LAR,2021,LAR2021,27.24,29.27,28.255
12,ARI,2021,ARI2021,27.41,30.07,28.74
13,DET,2021,DET2021,27.43,32.64,30.035
14,BUF,2021,BUF2021,27.5,30.24,28.87
15,MIA,2021,MIA2021,27.63,31.04,29.335
16,PHI,2021,PHI2021,27.63,29.31,28.47
17,CAR,2021,CAR2021,27.68,31.32,29.5
18,ATL,2021,ATL2021,27.75,30.35,29.05
19,HOU,2021,HOU2021,27.77,32.16,29.965
20,BAL,2021,BAL2021,27.86,32.42,30.14
21,CHI,2021,CHI2021,28.02,31.88,29.95
22,LV,2021,LV2021,28.16,31.06,29.61
23,WAS,2021,WAS2021,28.5,31.38,29.94
24,NE,2021,NE2021,28.6,32.57,30.585
25,NO,2021,NO2021,28.94,31.03,29.985
26,CLE,2021,CLE2021,29.19,32.26,30.725
27,TEN,2021,TEN2021,29.23,31.88,30.555
28,DEN,2021,DEN2021,29.45,32.29,30.87
29,SF,2021,SF2021,29.52,32.62,31.07
30,CIN,2021,CIN2021,29.75,32.79,31.27
31,IND,2021,IND2021,30.12,33.54,31.83
32,GB,2021,GB2021,30.54,32.8,31.67
33,DAL,2020,DAL2020,23.59,27.48,25.535
34,ARI,2020,ARI2020,25.06,27.14,26.1
35,PHI,2020,PHI2020,25.91,30.4,28.155
36,TEN,2020,TEN2020,25.99,28.56,27.275
37,DEN,2020,DEN2020,26.13,29.75,27.94
38,JAX,2020,JAX2020,26.18,31.08,28.63
39,DET,2020,DET2020,26.32,29.65,27.985
40,ATL,2020,ATL2020,26.32,29.58,27.95
41,TB,2020,TB2020,26.49,28.82,27.655
42,WAS,2020,WAS2020,26.52,29.92,28.22
43,LAC,2020,LAC2020,26.53,29.14,27.835
44,HOU,2020,HOU2020,27,30.27,28.635
45,KC,2020,KC2020,27.05,29.37,28.21
46,CHI,2020,CHI2020,27.21,31.5,29.355
47,NYJ,2020,NYJ2020,27.46,30.59,29.025
48,LAR,2020,LAR2020,27.62,29.8,28.71
49,MIN,2020,MIN2020,27.62,31.38,29.5
50,NE,2020,NE2020,27.66,29.83,28.745
51,SEA,2020,SEA2020,27.72,30.68,29.2
52,PIT,2020,PIT2020,27.72,29.24,28.48
53,NYG,2020,NYG2020,27.72,30.55,29.135
54,LV,2020,LV2020,27.9,30.99,29.445
55,IND,2020,IND2020,27.92,30.55,29.235
56,CIN,2020,CIN2020,27.93,30.31,29.12
57,SF,2020,SF2020,28.07,32.63,30.35
58,MIA,2020,MIA2020,28.35,31.34,29.845
59,CLE,2020,CLE2020,28.4,30.61,29.505
60,BUF,2020,BUF2020,28.65,29.78,29.215
61,NO,2020,NO2020,28.83,31.54,30.185
62,CAR,2020,CAR2020,28.9,31.86,30.38
63,BAL,2020,BAL2020,29.57,32.63,31.1
64,GB,2020,GB2020,31.09,32.83,31.96
65,CAR,2019,CAR2019,25.05,28.56,26.805
66,DAL,2019,DAL2019,25.54,28.26,26.9
67,LAR,2019,LAR2019,25.61,28.3,26.955
68,ARI,2019,ARI2019,25.71,28.35,27.03
69,ATL,2019,ATL2019,26.21,29.92,28.065
70,CIN,2019,CIN2019,26.33,29.25,27.79
