Team,Total DVOA Rank,Total DVOA,Prev. Year Rank,W-L,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Defense DVOA Rank,Defense DVOA,Special Teams DVOA Rank,Special Teams DVOA,Estimated Wins Rank,Estimated Wins,Unadj. Total VOA Rank,Unadj. Total VOA,Schedule Rank,Schedule,Pythagorean Wins Rank,Pythagorean Wins,Variance Rank,Variance
NO,1,28.7%,9,13-3,1,35.9%,2,33.5%,24,5.8%,12,1.0%,2,12.4,1,31.1%,28,-3.8%,1,12.4,20,16.4%
GB,2,26.2%,3,15-1,3,23.4%,1,34.2%,26,9.8%,8,1.8%,1,13.2,2,27.7%,29,-3.9%,3,12.2,4,6.8%
PIT,3,22.1%,2,12-4,2,27.7%,6,11.6%,9,-8.8%,9,1.7%,4,11.2,6,22.4%,30,-4.0%,6,11.1,15,13.8%
NE,4,21.5%,1,13-3,4,22.6%,3,32.6%,30,15.2%,5,4.1%,3,11.9,5,22.4%,23,-2.1%,4,11.9,6,9.3%
HOU,5,20.3%,12,10-6,9,14.6%,9,9.0%,7,-10.6%,13,0.7%,8,10.2,3,25.5%,31,-4.6%,7,10.9,22,16.9%
SF,6,18.4%,25,13-3,8,15.8%,18,-3.7%,3,-14.3%,2,7.8%,5,10.8,4,22.9%,32,-5.0%,2,12.3,5,6.8%
ATL,7,17.3%,6,10-6,5,20.3%,11,6.3%,5,-12.3%,22,-1.3%,6,10.7,7,16.4%,15,-0.1%,10,9.4,1,5.4%
BAL,8,13.5%,5,12-4,10,10.9%,13,3.1%,1,-16.0%,30,-5.6%,7,10.5,10,13.1%,24,-2.4%,5,11.2,31,24.6%
PHI,9,13.3%,4,8-8,6,19.3%,8,10.1%,11,-3.1%,17,0.0%,11,8.9,9,13.5%,10,1.1%,9,9.8,23,17.1%
DET,10,13.1%,15,10-6,7,16.0%,10,7.2%,6,-11.0%,29,-5.1%,9,9.7,8,15.5%,12,0.9%,8,10.1,12,10.8%
NYJ,11,12.3%,7,8-8,13,6.8%,21,-8.3%,2,-14.9%,4,5.6%,14,8.2,11,9.9%,19,-0.6%,15,8.4,25,19.9%
NYG,12,7.3%,10,9-7,14,5.4%,7,10.3%,21,3.3%,15,0.3%,10,9.0,15,3.1%,3,4.1%,19,7.8,17,14.0%
DAL,13,6.2%,22,8-8,16,4.4%,12,5.9%,12,-2.4%,25,-2.1%,12,8.8,13,8.2%,14,0.0%,13,8.6,13,12.4%
TEN,14,5.4%,11,9-7,17,3.1%,15,0.5%,18,1.4%,3,6.3%,15,8.2,12,9.9%,27,-3.5%,17,8.2,21,16.8%
