Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
CAR,1,25.05,6,26.42,1,23.81,3,26.77,4,26.97,5,23.26,5,28.56
DAL,2,25.54,2,25.53,4,25.55,21,29.60,1,25.69,2,22.04,2,28.26
LAR,3,25.61,4,25.83,3,25.39,8,27.54,3,26.83,1,20.79,3,28.30
ARI,4,25.71,3,25.75,6,25.67,7,27.54,2,26.42,9,24.01,4,28.35
ATL,5,26.21,7,26.49,8,25.94,2,26.46,7,27.49,16,25.00,9,29.92
CIN,6,26.33,11,27.26,5,25.56,19,29.57,9,27.87,13,24.85,7,29.25
MIA,7,26.41,16,27.60,2,25.29,4,26.94,15,28.52,10,24.21,13,30.24
TB,8,26.51,5,26.30,10,26.72,1,25.52,17,28.75,4,23.19,15,30.53
DET,9,26.56,12,27.28,7,25.87,14,28.99,8,27.50,7,23.46,12,30.12
NYG,10,26.82,9,26.94,11,26.72,10,28.05,13,28.16,19,25.41,8,29.82
NE,11,26.96,1,25.14,27,29.10,11,28.31,6,27.47,3,22.98,1,27.69
BUF,12,27.48,14,27.40,15,27.57,15,29.00,10,27.95,11,24.45,11,30.11
MIN,13,27.65,8,26.60,25,28.71,22,30.04,11,27.98,6,23.29,10,30.08
IND,14,27.71,15,27.59,18,27.82,5,27.14,18,28.80,15,25.00,25,31.79
HOU,15,27.72,13,27.37,20,28.10,16,29.32,22,29.01,12,24.84,14,30.49
JAX,16,27.76,19,28.38,13,27.24,6,27.32,31,30.64,22,25.79,30,32.72
CHI,17,27.78,24,28.93,9,26.66,27,31.26,20,28.94,8,23.91,22,31.51
KC,18,27.91,10,27.14,26,28.81,17,29.33,5,27.18,18,25.37,6,29.10
PHI,19,28.14,22,28.57,17,27.71,9,27.63,26,29.18,28,26.95,17,30.81
SEA,20,28.23,30,29.53,12,27.07,25,30.58,16,28.70,23,26.21,24,31.79
NYJ,21,28.27,26,29.01,14,27.45,20,29.60,21,29.01,25,26.79,16,30.60
TEN,22,28.37,21,28.46,22,28.28,18,29.55,23,29.06,26,26.79,19,31.25
CLE,23,28.52,20,28.44,24,28.61,12,28.74,27,29.42,29,27.27,28,32.23
PIT,24,28.56,25,28.95,21,28.18,32,32.86,29,29.57,17,25.13,29,32.33
DEN,25,28.61,23,28.78,23,28.44,24,30.27,28,29.48,21,25.79,21,31.45
WAS,26,28.62,29,29.50,16,27.68,13,28.84,30,30.22,30,27.53,31,33.03
LAC,27,28.68,28,29.28,19,28.06,28,31.69,24,29.09,27,26.89,32,33.14
GB,28,28.86,17,27.68,31,30.02,26,30.59,19,28.80,24,26.59,18,31.06
SF,29,28.91,18,27.75,30,29.99,23,30.15,12,28.14,32,29.74,20,31.36
OAK,30,29.37,27,29.22,29,29.52,31,32.25,14,28.17,31,28.78,26,31.80
NO,31,29.61,32,29.74,28,29.46,30,32.05,25,29.14,20,25.60,23,31.63
BAL,32,30.63,31,29.61,32,31.54,29,31.88,32,30.87,14,24.91,27,32.22
NFL,0,27.63,0,27.72,0,27.54,0,29.45,0,28.45,0,25.18,0,30.63

Team,Sec/Play(total) Rank,Sec/Play(total),Sec/Play(1st half) Rank,Sec/Play(1st half),Sec/Play(2nd half) Rank,Sec/Play(2nd half),Sec/Play(lead 7+) Rank,Sec/Play(lead 7+),Sec/Play(+/- 6) Rank,Sec/Play(+/- 6),Sec/Play(trail 7+) Rank,Sec/Play(trail 7+),Sec/Play(situationneutral) Rank,Sec/Play(situationneutral)
TB,1,25.30,4,26.33,1,24.36,10,28.90,1,25.42,2,23.08,1,27.93
BAL,2,25.73,2,26.12,4,25.24,1,25.60,22,28.84,10,24.09,7,30.00
NO,3,25.94,13,27.55,2,24.55,13,29.17,14,28.32,4,23.35,6,29.91
PHI,4,26.35,1,25.65,11,27.06,4,27.35,4,27.67,8,23.79,3,29.54
GB,5,26.65,22,28.18,3,25.07,16,29.36,17,28.69,12,24.48,22,31.06
