index,schedule_date,schedule_season,schedule_week,team_home,team_home_full,team_away_full,score_home,score_away,score_total,over_under_line,over_under_diff,over_binary,spread_favorite
1,9/5/1993,1993,1,BUF,BUF1993,NE1993,38,14,52,38.5,13.5,1,-14
2,9/5/1993,1993,1,CHI,CHI1993,NYG1993,20,26,46,35,11,1,-1
3,9/5/1993,1993,1,CLE,CLE1993,CIN1993,27,14,41,35.5,5.5,1,-7.5
4,9/5/1993,1993,1,DET,DET1993,ATL1993,30,13,43,44,-1,0,-5
5,9/5/1993,1993,1,GB,GB1993,LAR1993,36,6,42,38.5,3.5,1,-6.5
6,9/5/1993,1993,1,IND,IND1993,MIA1993,20,24,44,36.5,7.5,1,-6
7,9/5/1993,1993,1,LV,LV1993,MIN1993,24,7,31,36,-5,0,-3
8,9/5/1993,1993,1,NO,NO1993,TEN1993,33,21,54,39,15,1,-3
9,9/5/1993,1993,1,NYJ,NYJ1993,DEN1993,20,26,46,36.5,9.5,1,0
10,9/5/1993,1993,1,PHI,PHI1993,ARI1993,23,17,40,37.5,2.5,1,-6.5
11,9/5/1993,1993,1,PIT,PIT1993,SF1993,13,24,37,36,1,1,-6
12,9/5/1993,1993,1,LAC,LAC1993,SEA1993,18,12,30,33,-3,0,-11
13,9/5/1993,1993,1,TB,TB1993,KC1993,3,27,30,36,-6,0,-7
14,9/6/1993,1993,1,WAS,WAS1993,DAL1993,35,16,51,40,11,1,-2.5
15,9/12/1993,1993,2,ATL,ATL1993,NO1993,31,34,65,39.5,25.5,1,-3.5
16,9/12/1993,1993,2,CIN,CIN1993,IND1993,6,9,15,36,-21,0,-2
17,9/12/1993,1993,2,DAL,DAL1993,BUF1993,10,13,23,44.5,-21.5,0,-5
18,9/12/1993,1993,2,DEN,DEN1993,LAC1993,34,17,51,36,15,1,-3
19,9/12/1993,1993,2,GB,GB1993,PHI1993,17,20,37,40,-3,0,-3.5
20,9/12/1993,1993,2,TEN,TEN1993,KC1993,30,0,30,41,-11,0,-3
21,9/12/1993,1993,2,LAR,LAR1993,PIT1993,27,0,27,35.5,-8.5,0,-3
22,9/12/1993,1993,2,MIA,MIA1993,NYJ1993,14,24,38,39.5,-1.5,0,-9
23,9/12/1993,1993,2,MIN,MIN1993,CHI1993,10,7,17,36,-19,0,-7
24,9/12/1993,1993,2,NE,NE1993,DET1993,16,19,35,38,-3,0,-7
25,9/12/1993,1993,2,NYG,NYG1993,TB1993,23,7,30,37.5,-7.5,0,-10
26,9/12/1993,1993,2,SEA,SEA1993,LV1993,13,17,30,33,-3,0,-3
27,9/12/1993,1993,2,WAS,WAS1993,ARI1993,10,17,27,40.5,-13.5,0,-10
28,9/13/1993,1993,2,CLE,CLE1993,SF1993,23,13,36,39,-3,0,-6.5
29,9/19/1993,1993,3,NE,NE1993,SEA1993,14,17,31,32,-1,0,-2.5
30,9/19/1993,1993,3,NO,NO1993,DET1993,14,3,17,41,-24,0,-5
31,9/19/1993,1993,3,NYG,NYG1993,LAR1993,20,10,30,37,-7,0,-7
32,9/19/1993,1993,3,PHI,PHI1993,WAS1993,34,31,65,36,29,1,-5.5
33,9/19/1993,1993,3,ARI,ARI1993,DAL1993,10,17,27,38.5,-11.5,0,-6.5
34,9/19/1993,1993,3,PIT,PIT1993,CIN1993,34,7,41,34,7,1,-8.5
35,9/19/1993,1993,3,LAC,LAC1993,TEN1993,18,17,35,38,-3,0,-2.5
36,9/19/1993,1993,3,SF,SF1993,ATL1993,37,30,67,47,20,1,-13.5
37,9/20/1993,1993,3,KC,KC1993,DEN1993,15,7,22,43,-21,0,-6
38,9/26/1993,1993,4,BUF,BUF1993,MIA1993,13,22,35,39,-4,0,-6
