index,schedule_date,schedule_season,schedule_week,team_home,team_home_full,team_away_full,score_home,score_away,score_total,over_under_line,over_under_diff,over_binary,spread_favorite,home_total_dvoa,home_weighted_dvoa,home_offense_dvoa,home_defense_dvoa,home_special_dvoa,home_off_def_difference,home_sec_play_total,home_sec_play_neutral,home_sec_play_composite,away_total_dvoa,away_weighted_dvoa,away_offense_dvoa,away_defense_dvoa,away_special_dvoa,away_off_def_difference,away_sec_play_total,away_sec_play_neutral,away_sec_play_composite
1,1993-09-05,1993,1,BUF,BUF1993,NE1993,38,14,52,38.5,13.5,1,-14,7.8,-2,2,-5.5,0.4,1.6,24.07,24.86,24.465,-25.8,-14.2,-12.2,7.6,-6,-6.2,26.21,29.92,28.065
2,1993-09-05,1993,1,CHI,CHI1993,NYG1993,20,26,46,35,11,1,-1,-7.2,-12.6,-14.6,-4.7,2.7,-17.3,29.05,31.74,30.395,12.8,13.1,11.2,-0.6,0.9,10.3,29.7,32.21,30.955
3,1993-09-05,1993,1,CLE,CLE1993,CIN1993,27,14,41,35.5,5.5,1,-7.5,0,5.6,-7.4,-2.2,5.2,-12.6,29.37,33.08,31.225,-31.4,-23.2,-14.1,16.8,-0.5,-13.6,27.37,29.95,28.66
4,1993-09-05,1993,1,DET,DET1993,ATL1993,30,13,43,44,-1,0,-5,-2.3,-0.4,-11.7,-4.1,5.3,-17,29.3,32,30.65,-8.3,-2,-7.5,7.4,6.6,-14.1,29.4,35.02,32.21
5,1993-09-05,1993,1,GB,GB1993,LAR1993,36,6,42,38.5,3.5,1,-6.5,10.8,9.7,-3.4,-9.1,5.2,-8.6,28.47,30.7,29.585,-22.9,-29.7,2.6,19.7,-5.9,8.5,27.55,31.24,29.395
6,1993-09-05,1993,1,IND,IND1993,MIA1993,20,24,44,36.5,7.5,1,-6,-38.9,-38.5,-21,18,0.1,-21.1,26.33,30.6,28.465,3,1.7,11.3,8.2,-0.1,11.4,26.47,28.72,27.595
7,1993-09-05,1993,1,LV,LV1993,MIN1993,24,7,31,36,-5,0,-3,10.8,5.1,4.9,2.1,8,-3.1,29.04,31.99,30.515,8.3,13.9,0.2,-16.2,-8.1,8.3,27.91,30.96,29.435
8,1993-09-05,1993,1,NO,NO1993,TEN1993,33,21,54,39,15,1,-3,0.2,-17.1,-14.2,-7.8,6.6,-20.8,28.1,30.68,29.39,18.9,32.1,-1.4,-18.1,2.2,-3.6,27.57,29.85,28.71
9,1993-09-05,1993,1,NYJ,NYJ1993,DEN1993,20,26,46,36.5,9.5,1,0,5.8,-2.4,5.6,-7.3,-7.2,12.8,29.67,32.76,31.215,13.7,14.5,15,-1.3,-2.6,17.6,27.74,30.2,28.97
10,1993-09-05,1993,1,PHI,PHI1993,ARI1993,23,17,40,37.5,2.5,1,-6.5,8.6,5.9,6.4,-8.1,-5.8,12.2,28.16,31.3,29.73,-1.7,6.2,4.2,8.3,2.4,1.8,29.52,31.75,30.635
